crop,pest_disease,active_ingredient,formulation,dose,water_volume,application_method,timing,repeat_interval,waiting_period,source,source_year,region,approval_status,notes
Paddy,Gall midge,Fipronil,0.3% GR,16.7 kg/ha,N/A,Soil application,At 10-15 DAT in standing water,Single application,30 days,ICAR-NRRI,2026,Karnataka,Approved,Prevents silver shoot formation
Paddy,Blast,Tricyclazole,75% WP,0.6 g/L water,500 L/ha,Foliar spray,At neck blast initiation or leaf spot onset,12-14 days,30 days,ICAR-NRRI / Karnataka PoP,2026,Karnataka,Approved,Gold standard fungicide for paddy blast control
Paddy,Blast,Isoprothiolane,40% EC,1.5 mL/L water,500 L/ha,Foliar spray,At initial leaf blast symptoms,12 days,21 days,UAS Dharwad,2026,Karnataka,Approved,Systemic action against leaf and neck blast
Paddy,Bacterial leaf blight,Copper Hydroxide,77% WP,2.0 g/L water + Streptocycline 0.1 g/L,500 L/ha,Foliar spray,At first water-soaked lesion appearance,10 days,15 days,Karnataka PoP / UAS Bengaluru,2026,Karnataka,Approved,Mix copper compound with bactericide for effective control
Paddy,Sheath blight,Hexaconazole,5% EC,2.0 mL/L water,500 L/ha,Foliar spray,Spray directed towards lower sheath at tiller initiation,12 days,20 days,Karnataka PoP,2026,Karnataka,Approved,Ensure canopy penetration to reach plant base
Paddy,Sheath blight,Validamycin,3% L,2.0 mL/L water,500 L/ha,Foliar spray,At early sheath lesion stage,10 days,14 days,ICAR-NRRI,2026,Karnataka,Approved,Antibiotic fungicide effective against Rhizoctonia solani
Paddy,Brown spot,Mancozeb,75% WP,2.0 g/L water,500 L/ha,Foliar spray,At nursery or tillering stage,12 days,14 days,TNAU / Karnataka PoP,2026,Karnataka,Approved,Correct soil potassium and micronutrient deficiency
Maize,Fall armyworm,Chlorantraniliprole,18.5% SC,0.4 mL/L water,500 L/ha,Foliar whorl spray,Direct spray into central whorl at early instar,10-14 days,14 days,ICAR-NIM/UAS Bengaluru/Karnataka PoP,2026,Karnataka,Approved,Direct nozzle into central crop whorl where larvae hide
Maize,Fall armyworm,Spinetoram,11.7% SC,0.5 mL/L water,500 L/ha,Foliar whorl spray,When 5-10% whorl damage observed,14 days,14 days,ICAR-IIMR / UAS Dharwad,2026,Karnataka,Approved,Rotate chemical classes to prevent resistance development
Maize,Stem borer,Carbofuran,3% CG,20 kg/ha,N/A,Whorl application,Apply granules in central whorl at 20-25 DAS,Single application,30 days,Karnataka PoP,2026,Karnataka,Approved,Pinch granules directly into leaf whorl
Maize,Shoot fly,Imidacloprid,70% WS,10 g/kg seed,N/A,Seed treatment,Before sowing,Single application,N/A,ICAR-IIMR / UAS Raichur,2026,Karnataka,Approved,Essential for early crop protection up to 4 weeks
Maize,Turcicum leaf blight,Mancozeb,75% WP,2.5 g/L water,500 L/ha,Foliar spray,At appearance of long elliptical leaf lesions,12-14 days,14 days,UAS Bengaluru / Karnataka PoP,2026,Karnataka,Approved,Repeat spray if high humidity persists
Maize,Turcicum leaf blight,Azoxystrobin 18.2% + Difenoconazole 11.4% SC,30% SC,1.0 mL/L water,500 L/ha,Foliar spray,At early disease emergence,14 days,21 days,ICAR-IIMR,2026,Karnataka,Approved,Dual mode systemic fungicide giving prolonged protection
Maize,Downy mildew,Metalaxyl 8% + Mancozeb 64% WP,72% WP,2.5 g/L water,500 L/ha,Foliar spray,At 15-20 DAS if yellow chlorotic streaks appear,10 days,21 days,UAS Dharwad / Karnataka PoP,2026,Karnataka,Approved,Rogue out systemically infected plants first
Maize,Common rust,Wettable Sulphur,80% WP,3.0 g/L water,500 L/ha,Foliar spray,When brownish pustules cover 5% leaf area,12 days,14 days,Karnataka PoP,2026,Karnataka,Approved,Apply in cooler hours of the day
Arecanut,Mahali kolerogo fruit rot,Bordeaux Mixture,1% solution,2.0-3.0 L/palm,Prophylactic canopy spray,Before onset of southwest monsoon (May-June),30-40 days,N/A,CPCRI / KSNUAHS Shivamogga / Karnataka PoP,2026,Karnataka,Approved,Add stickers/adhesives like rosin soap for rainfastness; repeat spray after 40 days
Arecanut,Mahali kolerogo fruit rot,Copper Oxychloride,50% WP,3.0 g/L water,2.0-3.0 L/palm,Canopy spray,Second spray during mid-monsoon pause,30 days,15 days,Karnataka PoP,2026,Karnataka,Approved,Ensure complete covering of nut bunches
Arecanut,Bud rot,Bordeaux Paste,10% paste,N/A,Topical application on crown,After removing infected heart rot tissue,Single application,N/A,CPCRI / UAS Shivamogga,2026,Karnataka,Approved,Clean infected heart leaves and apply paste to crown bud
Arecanut,Foot rot or Anabe roga,Hexaconazole,5% EC,2.0 mL/L water,5-10 L/palm,Soil drenching around trunk base,At root zone/base upon stem bleeding,30 days,30 days,CPCRI / KSNUAHS Shivamogga,2026,Karnataka,Approved,Isolate affected palm by digging 30cm wide trench around base
Arecanut,Yellow leaf disease,Propiconazole,25% EC,1.0 mL/L water,3-5 L/palm,Root feeding / Soil drench,Post-monsoon period,60 days,30 days,CPCRI Kasaragod,2026,Karnataka,Approved,Combine with organic manure and micronutrient mix application
Arecanut,Spindle bug,Imidacloprid,17.8% SL,0.5 mL/L water,0.5 L/palm,Inner leaf axil drenching,At early whorl infestation,30 days,21 days,KSNUAHS Shivamogga / Karnataka PoP,2026,Karnataka,Approved,Direct spray into top spindle leaf axils
Arecanut,Mites,Wettable Sulphur,80% WP,3.0 g/L water,1.0-2.0 L/palm,Foliar canopy spray,During dry summer months (Feb-May),15 days,14 days,CPCRI / Karnataka PoP,2026,Karnataka,Approved,Target lower surface of leaves where red/white mites congregate
Arecanut,Inflorescence die-back and button shedding,Mancozeb,75% WP,2.5 g/L water,1.0-2.0 L/palm,Inflorescence bunch spray,At flower opening and after button set,20-25 days,14 days,CPCRI / KSNUAHS Shivamogga,2026,Karnataka,Approved,Spray on inflorescence bunches at female flower opening stage
Arecanut,Button Shedding,Mancozeb,75% WP,2.5 g/L water,1.0-2.0 L/palm,Inflorescence bunch spray,At flower opening and after button set,20-25 days,14 days,CPCRI / KSNUAHS Shivamogga,2026,Karnataka,Approved,Spray on inflorescence bunches at female flower opening stage
